book_name,author,rating,reviews,price_usd,duration_mins,duration_category,primary_genre
Diary of a Young Girl,Anne Frank,4.5,3331,10.7,608,Very Long (10+ hrs),History of Judaism
Why I Am an Atheist and Other Works,Bhagat Singh,4.5,326,6.04,180,Medium (3-6 hrs),Biographies of Activists
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,4.6,925,10.7,682,Very Long (10+ hrs),Personal Success
"Guns, Germs and Steel: The Fate of Human Societies",Jared Diamond,4.4,2796,15.13,980,Very Long (10+ hrs),Crop Science
What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,4.4,786,8.05,476,Long (6-10 hrs),Business Careers
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.7,4533,7.63,250,Medium (3-6 hrs),Personal Success
A Course in Meditation: A 21-Day Workout for Your Consciousness,Osho,4.9,30,9.08,298,Medium (3-6 hrs),General
"The Complete Guide to Fasting: Heal Your Body Through Intermittent, Alternate-Day, and Extended Fasting",Jimmy Moore,4.7,5649,8.05,456,Long (6-10 hrs),Diets
An Era of Darkness: The British Empire in India,Shashi Tharoor,4.5,1143,10.07,746,Very Long (10+ hrs),Political Science History & Theory
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,4.5,1331,10.59,523,Long (6-10 hrs),General
The Journey Home,Radhanath Swami,4.8,627,5.08,1197,Very Long (10+ hrs),Hindu Rituals & Practices
No Excuses!: The Power of Self-Discipline for Success in Your Life,Brian Tracy,4.5,886,9.88,411,Long (6-10 hrs),Business Motivation & Self-Improvement
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.3,1689,10.08,539,Long (6-10 hrs),General
"Inspired: How to Create Tech Products Customers Love, Second Edition",Marty Cagan,4.6,579,8.05,465,Long (6-10 hrs),Customer Service
Meri Priya Kahaniyan [My Favorite Stories],Amrita Pritam,4.4,167,6.04,293,Medium (3-6 hrs),Fiction Short Stories
"Trading for a Living: Psychology, Trading Tactics, Money Management",Alexander Elder,4.4,198,5.36,178,Short (under 3 hrs),Investing & Trading
The Everything Store,Brad Stone,4.5,2133,10.7,780,Very Long (10+ hrs),General
Make It Stick: The Science of Successful Learning,Peter C. Brown,4.6,925,14.12,514,Long (6-10 hrs),Educational Psychology
Ashwathama,Ashutosh Garg,4.0,174,8.05,420,Long (6-10 hrs),Fairy Tale Fantasy
The Dutch House,Ann Patchett,4.4,5864,8.69,593,Long (6-10 hrs),Coming of Age Fiction
I Too Had a Love Story,Ravinder Singh,4.5,2865,8.47,388,Long (6-10 hrs),General
Rebecca,Daphne Du Maurier,4.5,2963,10.52,886,Very Long (10+ hrs),Suspense
The Psychology of Selling: The Art of Closing Sales,Brian Tracy,4.5,480,17.34,319,Medium (3-6 hrs),Business Sales
The Great Gatsby,F. Scott Fitzgerald,4.2,10685,6.04,289,Medium (3-6 hrs),Movie
Dark Matter,Blake Crouch,4.4,5083,3.89,608,Very Long (10+ hrs),Technothrillers
Digital Minimalism: On Living Better with Less Technology,Cal Newport,4.6,698,10.7,420,Long (6-10 hrs),General
The Order of Time: Narrated by Benedict Cumberbatch,Carlo Rovelli,4.5,941,7.41,258,Medium (3-6 hrs),Consciousness & Thought
The Mastery Manual (Hindi): A Life-Changing Guide for Personal and Professional Greatness,Robin Sharma,4.4,18,6.04,291,Medium (3-6 hrs),Personal Success
The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,4.5,2850,14.12,324,Medium (3-6 hrs),Business Management
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,4.7,8026,9.88,371,Long (6-10 hrs),General
Flirting with Stocks: Stock Market Investing for Beginners,Anil Lamba,4.3,181,6.04,250,Medium (3-6 hrs),Stocks
The Personal MBA: Master the Art of Business,Josh Kaufman,4.5,1502,10.07,925,Very Long (10+ hrs),Postgraduate School Education
Nirmala (Hindi Edition),Munshi Premchand,4.4,482,10.07,351,Medium (3-6 hrs),Classic Literature
Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,W. Chan Kim,4.5,1337,8.47,387,Long (6-10 hrs),Forecasting & Strategic Planning
Women and the Weight Loss Tamasha,Rujuta Diwekar,4.4,415,10.07,698,Very Long (10+ hrs),Weight Loss Diets
The Secret of Secrets: The Secret of the Golden Flower,Osho,4.6,36,6.22,3212,Very Long (10+ hrs),Taoism
"How to Day Trade for a Living: A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,4.4,3612,8.05,416,Long (6-10 hrs),Investing Analysis & Strategy
The Complete Works of Swami Vivekananda: Volume 1,Swami Vivekananda,4.4,60,10.07,1080,Very Long (10+ hrs),General
The Man Who Solved the Market,Gregory Zuckerman,4.4,1040,10.7,644,Very Long (10+ hrs),General
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,4.6,1791,10.59,528,Long (6-10 hrs),Art Instruction & Technique
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,4.5,2130,68.78,444,Long (6-10 hrs),General
Crime and Punishment,Fyodor Dostoevsky,4.4,2768,16.12,1228,Very Long (10+ hrs),Russian Literature
"The Yugas: Keys to Understanding Our Hidden Past, Emerging Energy Age and Enlightened Future",Joseph Selbie,4.6,64,8.47,763,Very Long (10+ hrs),Unexplained Mysteries
MBA Kiye Bina Seekhen Business Ke Hunar [Learn Business Skills Without Getting an MBA],Josh Kaufman,4.4,94,12.08,1157,Very Long (10+ hrs),Business Management
Mossad: The Greatest Missions of the Israeli Secret Service,Michael Bar-Zohar,4.6,1850,9.88,874,Very Long (10+ hrs),Terrorism
Panchatantra,Pandit Vishnu Sharma,4.0,77,8.05,451,Long (6-10 hrs),Fairy Tales
"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,4.5,1116,12.81,410,Long (6-10 hrs),Relationships
The Miracle of Mindfulness: The Classic Guide to Meditation by the World's Most Revered Master,Thich Nhat Hanh,4.4,581,7.41,251,Medium (3-6 hrs),Buddhist Philosophy & Practice
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,4.7,2211,4.67,606,Very Long (10+ hrs),Philosophy History
Atlas Shrugged,Ayn Rand,4.3,5399,16.94,3776,Very Long (10+ hrs),Political Fiction
The Vault of Vishnu,Ashwin Sanghi,4.4,698,10.07,602,Very Long (10+ hrs),Dragon & Mythical Creatures Fantasy
"Making Sense: Conversations on Consciousness, Morality and the Future of Humanity",Sam Harris,4.7,43,13.17,1346,Very Long (10+ hrs),Religious Ethics
Bad Blood,John Carreyrou,4.7,4679,3.89,696,Very Long (10+ hrs),White Collar & Corporate True Crime
Yes Minister & Yes Prime Minister - The Complete Audio Collection,Antony Jay,4.8,24,13.17,1108,Very Long (10+ hrs),Humorous Fiction
India's Wars: A Military History (1947-1971),Arjun Subramaniam,4.4,97,12.08,1172,Very Long (10+ hrs),Military Science
Men Without Women,Haruki Murakami,4.2,901,6.72,456,Long (6-10 hrs),Literature Anthologies
Midnights with The Mystic: A Little Guide to Freedom and Bliss,Cheryl Simone,4.5,280,8.47,414,Long (6-10 hrs),General
"Daughters of the Sun: Empresses, Queens and Begums of the Mughal Empire",Ira Mukhoty,4.5,96,10.07,788,Very Long (10+ hrs),Study of Customs & Traditions
The Fault in Our Stars,John Green,4.5,43869,8.07,434,Long (6-10 hrs),Contemporary Romance for Teens
Turning Points: A Journey Through Challenges,A.P.J. Abdul Kalam,4.6,985,8.05,336,Medium (3-6 hrs),Biographies of Politicians
The God Delusion,Richard Dawkins,4.5,3963,13.17,832,Very Long (10+ hrs),Religion & Sociology
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,4.6,2185,9.31,691,Very Long (10+ hrs),Biographies of Science & Technology Leaders
The Gita for Children,Roopa Pai,4.5,484,8.05,470,Long (6-10 hrs),Hinduism for Children
One Hundred Years of Solitude,Gabriel García Márquez,2.4,7,12.88,844,Very Long (10+ hrs),Classic Literature
Moonflower Murders,Anthony Horowitz,4.5,71,10.7,1109,Very Long (10+ hrs),Suspense
War and Peace,Leo Tolstoy,4.2,102,16.94,3666,Very Long (10+ hrs),Fiction Sagas
"The Book of Ichigo Ichie: The Art of Making the Most of Every Moment, the Japanese Way",Francesc Miralles,4.6,128,10.52,200,Medium (3-6 hrs),Sustainable & Green Living
Circe,Madeline Miller,4.5,6560,8.69,728,Very Long (10+ hrs),Epic Fantasy
Metamorphosis: A BBC Radio 4 Reading,Franz Kafka,4.5,64,7.41,38,Short (under 3 hrs),Classic Literature
Rich Dad's Cashflow Quadrant: Guide to Financial Freedom,Robert T. Kiyosaki,4.6,1687,10.08,528,Long (6-10 hrs),Personal Finance
Psycho-Cybernetics: Updated and Expanded,Maxwell Maltz,4.7,336,13.63,736,Very Long (10+ hrs),Personal Success
The White Tiger,Aravind Adiga,4.4,1558,14.36,490,Long (6-10 hrs),Epistolary Fiction
A New Earth: Awakening Your Life's Purpose,Eckhart Tolle,4.7,5188,13.63,552,Long (6-10 hrs),Other Religions
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,4.5,809,12.11,710,Very Long (10+ hrs),General
Super Attractor: Methods for Manifesting a Life Beyond Your Wildest Dreams,Gabrielle Bernstein,4.7,1681,12.08,385,Long (6-10 hrs),New Thought Spirituality
The 80/20 Principle: The Secret to Success by Achieving More with Less,Richard Koch,4.4,221,17.34,407,Long (6-10 hrs),Time Management
Breaking the Habit of Being Yourself,Joe Dispenza,4.7,3667,10.07,649,Very Long (10+ hrs),New Thought Spirituality
Die Empty: Unleash Your Best Work Every Day,Todd Henry,4.3,291,7.9,330,Medium (3-6 hrs),Time Management & Productivity
Unlearn: 101 Simple Truths for a Better Life,Humble the Poet,4.7,679,64.73,235,Medium (3-6 hrs),General
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,4.2,516,10.59,410,Long (6-10 hrs),Business Decision Making & Problem Solving
Captain Cool: The MS Dhoni Story,Gulu Ezekiel,4.0,60,8.05,428,Long (6-10 hrs),Neuro-Linguistic Programming
The War of Art,Steven Pressfield,4.5,5127,2.81,149,Short (under 3 hrs),Creativity
The Yoga Sutras of Patanjali,Sri Swami Satchidananda,4.8,1340,8.05,570,Long (6-10 hrs),Hindu Sacred Writings
"The Body Keeps the Score: Mind, Brain and Body in the Transformation of Trauma",Bessel van der Kolk,4.8,8278,13.17,976,Very Long (10+ hrs),PTSD
The Handmaid's Tale,Margaret Atwood,4.4,15741,13.17,682,Very Long (10+ hrs),Dystopian Science Fiction
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,Michael E. Gerber,4.6,3021,142.92,485,Long (6-10 hrs),Small Businesses
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.5,8360,10.7,639,Very Long (10+ hrs),Relationships
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,5260,10.59,387,Long (6-10 hrs),Women in Business
"Game Changers: What Leaders, Innovators and Mavericks Do to Win at Life",Dave Asprey,4.7,435,105.24,672,Very Long (10+ hrs),Stress Management
"Heroes: Mortals and Monsters, Quests and Adventures",Stephen Fry,4.8,84,13.17,900,Very Long (10+ hrs),Literary History & Criticism
"You Can Heal Your Life (Unabridged, Adapted for Audio)",Louise L. Hay,4.6,1866,7.06,299,Medium (3-6 hrs),Ageing Health
Peak: Secrets from the New Science of Expertise,Robert Pool,4.5,175,9.06,640,Very Long (10+ hrs),Personal Development & Self-Help
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life - Before 8AM,Hal Elrod,4.6,3855,6.04,297,Medium (3-6 hrs),Spirituality (Books)
Swami Vivekananda: A Biography,Gautam Ghosh,4.2,35,8.05,412,Long (6-10 hrs),Biographies of Religious Figures
Syahhashiye Aur Anya Kahaniyan [Syllabus and Other Stories],Saadat Hasan Manto,4.0,2,8.05,419,Long (6-10 hrs),Fiction Short Stories
Bhartiya Pauranik Kathaein [Indian Mythology],Devdutt Pattanaik,3.9,86,8.05,453,Long (6-10 hrs),General
Jeeves & Wooster: The Collected Radio Dramas,P.G. Wodehouse,4.6,40,13.17,1076,Very Long (10+ hrs),Classic Literature
The Five Love Languages: The Secret to Love That Lasts,Gary Chapman,4.8,16390,7.9,286,Medium (3-6 hrs),Christian Marriage & Relationships
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.6,1252,8.05,367,Long (6-10 hrs),Philosophy Movements
HBR's 10 Must Reads on Communication,Harvard Business Review,4.5,129,8.05,419,Long (6-10 hrs),General
Naked Statistics: Stripping the Dread from the Data,Charles Wheelan,4.5,855,10.07,648,Very Long (10+ hrs),General
The Body: A Guide for Occupants,Bill Bryson,4.7,3516,8.69,887,Very Long (10+ hrs),General
